Gaze Tracking Log with System Metrics
==================================================
Session: 20251209_180354
Start Time: 2025-12-09T18:03:54.333703
==================================================

Time: 2025-12-09T18:04:15.864452Z | Gaze: (754, 207) | Conf: 1.000 | CPU: 3.1% | RAM: 11689.49MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.896369Z | Gaze: (719, 200) | Conf: 1.000 | CPU: 18.8% | RAM: 11696.28MB | Mem%: 73.1%
Time: 2025-12-09T18:04:15.927418Z | Gaze: (707, 203) | Conf: 1.000 | CPU: 18.8% | RAM: 11696.74MB | Mem%: 73.1%
Time: 2025-12-09T18:04:15.958422Z | Gaze: (695, 215) | Conf: 1.000 | CPU: 6.2% | RAM: 11699.35MB | Mem%: 73.1%
Time: 2025-12-09T18:04:15.987374Z | Gaze: (684, 225) | Conf: 1.000 | CPU: 25.0% | RAM: 11693.13MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.017054Z | Gaze: (675, 233) | Conf: 1.000 | CPU: 12.5% | RAM: 11698.14MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.039630Z | Gaze: (666, 242) | Conf: 1.000 | CPU: 37.5% | RAM: 11692.67MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.072145Z | Gaze: (663, 249) | Conf: 1.000 | CPU: 12.5% | RAM: 11697.22MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.109262Z | Gaze: (659, 253) | Conf: 1.000 | CPU: 16.7% | RAM: 11700.46MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.144884Z | Gaze: (661, 248) | Conf: 1.000 | CPU: 0.0% | RAM: 11698.37MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.169830Z | Gaze: (674, 232) | Conf: 0.927 | CPU: 12.5% | RAM: 11699.4MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.200994Z | Gaze: (689, 219) | Conf: 0.743 | CPU: 17.6% | RAM: 11699.23MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.231497Z | Gaze: (712, 208) | Conf: 0.856 | CPU: 6.2% | RAM: 11697.8MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.294976Z | Gaze: (712, 207) | Conf: 1.000 | CPU: 6.5% | RAM: 11697.64MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.313888Z | Gaze: (707, 208) | Conf: 1.000 | CPU: 88.9% | RAM: 11700.47MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.345874Z | Gaze: (691, 215) | Conf: 1.000 | CPU: 0.0% | RAM: 11698.45MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.376597Z | Gaze: (683, 224) | Conf: 1.000 | CPU: 52.9% | RAM: 11699.68MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.410963Z | Gaze: (679, 235) | Conf: 1.000 | CPU: 0.0% | RAM: 11699.11MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.446039Z | Gaze: (680, 245) | Conf: 1.000 | CPU: 18.8% | RAM: 11699.7MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.470920Z | Gaze: (685, 250) | Conf: 1.000 | CPU: 6.2% | RAM: 11698.13MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.503325Z | Gaze: (686, 252) | Conf: 1.000 | CPU: 6.2% | RAM: 11699.35MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.534114Z | Gaze: (683, 254) | Conf: 1.000 | CPU: 50.0% | RAM: 11698.47MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.569713Z | Gaze: (673, 251) | Conf: 1.000 | CPU: 43.8% | RAM: 11699.04MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.604436Z | Gaze: (669, 253) | Conf: 1.000 | CPU: 41.2% | RAM: 11697.07MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.631329Z | Gaze: (666, 251) | Conf: 1.000 | CPU: 0.0% | RAM: 11698.91MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.695919Z | Gaze: (666, 251) | Conf: 1.000 | CPU: 3.1% | RAM: 11697.12MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.715841Z | Gaze: (667, 250) | Conf: 1.000 | CPU: 12.5% | RAM: 11698.43MB | Mem%: 73.1%
Time: 2025-12-09T18:04:16.732796Z | Gaze: (673, 249) | Conf: 1.000 | CPU: 28.6% | RAM: 11697.39MB | Mem%: 73.1%
